Municipio,Area, Valor , Data , Semana ,Cli.Tratado,Pais,Venda
Serra,SUDESTE / NORDESTE, R$ 3.374,19 ,22/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Serra,SUDESTE / NORDESTE, R$ 1.993,53 ,22/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Belém,SUDESTE / NORDESTE, R$ 695,59 ,23/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Salvador,SUDESTE / NORDESTE, R$ 849,88 ,23/01/2021,4ª Semana,NÃO TRATADO,Brasil,Cancelada
Caxias,SUDESTE / NORDESTE, R$ 4.451,76 ,24/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Osasco,SUL / SP, R$ 226,00 ,24/01/2021,4ª Semana,NÃO TRATADO,Brasil,Efetivada
Ribeirão Preto,SUL / SP, R$ 460,08 ,24/01/2021,4ª Semana,TRATADO,Brasil,Efetivada
Porto Alegre,SUL / SP, R$ 1.281,44 ,25/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Timóteo,CENTRO OESTE, R$ 2.014,87 ,25/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Uberlândia,CENTRO OESTE, R$ 173,38 ,25/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Uberlândia,CENTRO OESTE, R$ 1.839,30 ,25/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Cuiabá,CENTRO OESTE, R$ 2.774,40 ,26/01/2021,5ª Semana,TRATADO,Brasil,Efetivada
Juiz De Fora,CENTRO OESTE, R$ 2.746,10 ,26/01/2021,5ª Semana,TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 1.305,50 ,26/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Natal,SUDESTE / NORDESTE, R$ 669,18 ,26/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Paulínia,SUL / SP, R$ 1.346,48 ,26/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Timóteo,CENTRO OESTE, R$ 1.810,81 ,26/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Mauá,SUL / SP, R$ 260,74 ,27/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Natal,SUDESTE / NORDESTE, R$ 1.032,00 ,27/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Pouso Alegre,SUL / SP, R$ 1.111,81 ,27/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Caxias,SUDESTE / NORDESTE, R$ 670,40 ,28/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Caxias,SUDESTE / NORDESTE, R$ 1.116,25 ,28/01/2021,5ª Semana,TRATADO,Brasil,Cancelada
Contagem,CENTRO OESTE, R$ 810,52 ,28/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Timóteo,CENTRO OESTE, R$ 1.004,07 ,28/01/2021,5ª Semana,NÃO TRATADO,Brasil,Efetivada
Fortaleza,SUDESTE / NORDESTE, R$ 2.047,86 ,29/01/2021,5ª Semana,NÃO TRATADO,Brasil,Cancelada
Paulínia,SUL / SP, R$ 1.755,57 ,29/01/2021,5ª Semana,NÃO TRATADO,Brasil,Cancelada
Belém,SUDESTE / NORDESTE, R$ 3.787,02 ,30/01/2021,5ª Semana,TRATADO,Brasil,Efetivada
Contagem,CENTRO OESTE, R$ 2.441,27 ,30/01/2021,5ª Semana,TRATADO,Brasil,Efetivada
Paulínia,SUL / SP, R$ 1.110,52 ,30/01/2021,5ª Semana,NÃO TRATADO,Brasil,Cancelada
Caxias,SUDESTE / NORDESTE, R$ 1.028,80 ,31/01/2021,5ª Semana,NÃO TRATADO,Brasil,Cancelada
S J Rio Preto,SUL / SP, R$ 3.048,07 ,31/01/2021,5ª Semana,TRATADO,Brasil,Efetivada
